	ID_GeneontologyIDs_	Gene ontology IDs
133	GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005876; GO:0006974; GO:0016055; GO:0030510; GO:0031398; GO:0042127; GO:0042802; GO:0043027; GO:0043066; GO:0043154; GO:0045088; GO:0046872; GO:0050727; GO:0051402; GO:0051726; GO:0055070; GO:0061630; GO:0070424; GO:0090263; GO:1902530; GO:1990001	133
134	GO:0000978; GO:0000981; GO:0005634; GO:0005654; GO:0005730; GO:0006357; GO:0046872; GO:1990837	134
135	GO:0000139; GO:0005783; GO:0005794; GO:0006612; GO:0016021; GO:0016409; GO:0018230; GO:0018345; GO:0019706	135
136	GO:0005737; GO:0006412; GO:1903231	136
137	GO:0000122; GO:0005634; GO:0008270	137
138	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005654; GO:0005829; GO:0006357; GO:0046872	138
139	GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0005654; GO:0006357; GO:0042552; GO:0042802; GO:0043565; GO:0045892; GO:0045944; GO:0046872	139
140	GO:0000811; GO:0005654; GO:0071162; GO:1902975	140
141	GO:0001530; GO:0001875; GO:0002693; GO:0004930; GO:0004992; GO:0005543; GO:0005886; GO:0005887; GO:0006357; GO:0006935; GO:0006954; GO:0006955; GO:0007186; GO:0007567; GO:0009609; GO:0010863; GO:0016020; GO:0016021; GO:0030667; GO:0032755; GO:0032760; GO:0032959; GO:0043315; GO:0045028; GO:0045056; GO:0045727; GO:0045776; GO:0048015; GO:0048661; GO:0051019; GO:0060732; GO:0070821; GO:0071258; GO:0071320; GO:0071398; GO:0071548; GO:1902943; GO:1903238; GO:1904058; GO:1904300; GO:1904303; GO:1904306; GO:1904317	141
142	GO:0002181; GO:0003723; GO:0003735; GO:0005829; GO:0006412; GO:0007566; GO:0008201; GO:0016020; GO:0022625; GO:0022626; GO:0045296	142
143	GO:0005102; GO:0005125; GO:0005164; GO:0005615; GO:0005886; GO:0005887; GO:0006915; GO:0006919; GO:0006955; GO:0007165; GO:0007250; GO:0016021	143
144	GO:0000122; GO:0005102; GO:0005123; GO:0005125; GO:0005164; GO:0005576; GO:0005615; GO:0005634; GO:0005886; GO:0005887; GO:0005901; GO:0006915; GO:0006919; GO:0006925; GO:0007165; GO:0007267; GO:0008284; GO:0008625; GO:0009897; GO:0016525; GO:0030644; GO:0032496; GO:0043065; GO:0043123; GO:0043202; GO:0043525; GO:0045742; GO:0046666; GO:0048388; GO:0048471; GO:0060205; GO:0070062; GO:0070231; GO:0070266; GO:0070848; GO:0071346; GO:0097190; GO:0097191; GO:0097527; GO:1903514; GO:1905782; GO:2000353	144
145	GO:0004725; GO:0005634; GO:0005829; GO:0005886; GO:0006470; GO:0007165; GO:0008285; GO:0014065; GO:0016021; GO:0016311; GO:0016314; GO:0042995; GO:0046856; GO:0048870; GO:0051896	145
